6/19/2021,173968342,130974892,11931392
6/20/2021,174521867,131213452,11986595
6/21/2021,174943983,131372107,12015721
6/22/2021,175373929,131557233,12047571
6/23/2021,175773690,131761409,12090161
6/24/2021,176285416,132013506,12139564
6/25/2021,176721071,132058604,12169305
6/26/2021,177321630,132335894,12213560
6/27/2021,178171003,132647393,12256008
6/28/2021,178965469,132904311,12291007
6/29/2021,179486976,133089082,12322817
6/30/2021,180344997,133514868,12405746
7/1/2021,181347436,134076668,12470439
7/2/2021,181776100,134263339,12510528
7/3/2021,182499540,134627563,12581723
7/4/2021,182920075,134803711,12617454
7/6/2021,183331181,134973241,12646604
7/7/2021,183611750,135107053,12668885
7/8/2021,184073920,135297225,12708959
7/9/2021,184469317,135477905,12751618
7/10/2021,184861169,135643064,12791315
7/11/2021,185249718,135804688,12825967
7/12/2021,185562235,135916829,12850062
7/13/2021,185798639,136001959,12869516
7/14/2021,186127467,136180712,12905099
7/15/2021,186509204,136332425,12936594
7/16/2021,186875936,136483277,12966602
7/17/2021,187306773,136648062,13003099
7/18/2021,187652680,136777777,13026794
7/19/2021,188001345,136915879,13046033
7/20/2021,188194066,136952878,13060192
7/21/2021,188601917,137121107,13092976
7/22/2021,189056672,137291239,13126443
7/23/2021,189462460,137451139,13158442
7/24/2021,189943803,137610667,13191298
7/25/2021,190468171,137826515,13228307
7/26/2021,190744361,137928681,13242865
7/27/2021,191021446,138031642,13257878
7/28/2021,191510953,138257663,13293282
7/29/2021,191983572,138456874,13329001
7/30/2021,192560134,138692320,13371560
7/31/2021,193041050,138883719,13408923
8/1/2021,193596180,139105757,13446195
8/2/2021,193925677,139225808,13464026
8/3/2021,194252771,139335403,13479802
8/4/2021,194761251,139513845,13515943
8/5/2021,195351697,139742533,13557377
8/6/2021,195903754,139969467,13596515
8/7/2021,196477868,140189704,13639573
8/8/2021,197016306,140388709,13674107
8/9/2021,197399471,140520517,13691100
8/10/2021,197837608,140678574,13711856
8/11/2021,198288731,140845833,13746323
8/12/2021,198736053,141011089,13784136
8/13/2021,199392855,141231218,13823462
8/14/2021,200086401,141484707,13865764
8/15/2021,200551649,141656626,13892386
8/16/2021,201153708,141882801,13921901
8/17/2021,201577973,142042199,13940856
8/18/2021,202051500,142239152,13973354
8/19/2021,202736783,142536887,14011758
8/20/2021,203416431,142827859,14050126
8/21/2021,204095863,143147929,14099089
8/22/2021,204750908,143433946,14130274
